chisquare,i,j
38963260.8914848,1,3
39237210.8021178,1,4
134361349.484933,1,5
40767745.1820287,1,34
40767646.1470394,1,54
40766052.0181358,1,56
40717773.060927,1,65
40767745.1820287,1,34
40788080.6267953,1,24
40627259.4060787,1,235
40780231.053492,1,35
30258119.9774597,1,1400
40788080.6267953,1,23
40788080.6267953,1,24
1844852.21256961,3,4
297200583.054016,3,5
2369091.44047452,3,34
2368914.54399422,3,54
2366132.09710841,3,56
2290710.56076368,3,65
2369091.44047452,3,34
2405266.58572348,3,24
2324797.7384783,3,235
2391299.13732607,3,35
4925936.74244948,3,1400
2405266.58572348,3,23
2405266.58572348,3,24
298606194.4095,4,5
2187753.93717615,4,34
2187565.79924204,4,54
2184614.61499332,4,56
2105821.64586562,4,65
2187753.93717615,4,34
2226237.92390886,4,24
2164016.03266314,4,235
2211371.9092725,4,35
5100761.50644171,4,1400
2226237.92390886,4,23
2226237.92390886,4,24
306433290.510712,5,34
306432790.942,5,54
306424744.385419,5,56
306180513.658028,5,65
306433290.510712,5,34
306535921.00098,5,24
305707990.306604,5,235
306496296.348179,5,35
252566941.447366,5,1400
306535921.00098,5,23
306535921.00098,5,24
1882.26648079863,34,54
2708.33650683746,34,56
167592.10654613,34,65
2021.13595384061,34,34
7567.13595384061,34,24
2162794.59618153,34,235
10510.2184207103,34,35
6321443.02489803,34,1400
7567.13595384061,34,23
7567.13595384061,34,24
2571.25058285122,54,56
167319.840878855,54,65
1882.26648079863,54,34
7316.93899156648,54,24
2161571.92114808,54,235
10304.1742286751,54,35
6321340.58113187,54,1400
7316.93899156648,54,23
7316.93899156648,54,24
164375.001267829,56,65
2708.33650683746,56,34
9315.16644474035,56,24
2142722.74465923,56,235
11389.3666707571,56,35
6319700.01445528,56,1400
9315.16644474035,56,23
9315.16644474035,56,24
167592.10654613,65,34
224831.074459235,65,24
1750382.06546353,65,235
201383.637533336,65,35
6271088.99998706,65,1400
224831.074459235,65,23
224831.074459235,65,24
7567.13595384061,34,24
2162794.59618153,34,235
10510.2184207103,34,35
6321443.02489803,34,1400
7567.13595384061,34,23
7567.13595384061,34,24
2438594.63503488,24,235
29225.9154600654,24,35
6342437.90032944,24,1400
chisquare,i,j
